tconst,title,startYear,endYear,runtime,genres,avgRating,numVotes,Rating,Summary,ReleaseDate,Genre,Language,Poster
tt0944947,Game of Thrones,2011,2019,60,Action Adventure Drama,9.2,2311128,,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Release dateApril 17, 2011 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BN2IzYzBiOTQtNGZmMi00NDI5LTgxMzMtN2EzZjA1NjhlOGMxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0903747,Breaking Bad,2008,2013,45,Crime Drama Thriller,9.5,2168142,,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Release dateJanuary 20, 2008 (United States)",,EnglishSpanish,"https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt4574334,Stranger Things,2016,2025,60,Drama Fantasy Horror,8.7,1355941,,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.","Release dateJuly 15, 2016 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR18,0,190,281_.jpg"
tt0108778,Friends,1994,2004,22,Comedy Romance,8.9,1097818,,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,"Release dateSeptember 22, 1994 (United States)",,EnglishSpanishItalianFrenchDutchHebrew,"https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR1,0,190,281_.jpg"
tt1520211,The Walking Dead,2010,2022,45,Drama Horror Thriller,8.1,1093022,,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Release dateOctober 31, 2010 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BNzI5MjUyYTEtMTljZC00NGI5LWFhNWYtYjY0ZTQ5YmEzMWRjXkEyXkFqcGdeQXVyMTY3MDE5MDY1._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt1475582,Sherlock,2010,2017,90,Crime Drama Mystery,9.1,1008414,,"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's... Read all","Release dateOctober 24, 2010 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BNTQzNGZjNDEtOTMwYi00MzFjLWE2ZTYtYzYxYzMwMjZkZDc5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt7366338,Chernobyl,2019,2019,41,Drama History Thriller,9.3,879053,,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the fo... Read all","Release dateMay 6, 2019 (United States)",,EnglishRussianUkrainian,"https://m.media-amazon.com/images/M/MV5BNTdkN2QwMDItMDVhNS00ZjFiLWEzNTctMzY5ODQzYWNkMDllXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UY281_CR7,0,190,281_.jpg"
tt0898266,The Big Bang Theory,2007,2019,22,Comedy Romance,8.1,876515,,"Aspiring film actress Penny moves into a Pasadena apartment across the hall from brilliant, but socially awkward, physicists Sheldon Cooper and Leonard Hofstadter and shows them how little t... Read all","Release dateSeptember 24, 2007 (United States)",,EnglishHindiItalianRussianMandarinKlingon,"https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt0773262,Dexter,2006,2013,60,Crime Drama Mystery,8.6,778221,,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.","Release dateOctober 1, 2006 (United States)",,EnglishSpanish,"https://m.media-amazon.com/images/M/MV5BZjkzMmU5MjMtODllZS00OTA5LTk2ZTEtNjdhYjZhMDA5ZTRhXkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_QL75_UY281_CR9,0,190,281_.jpg"
tt0460649,How I Met Your Mother,2005,2014,23,Comedy Drama Romance,8.3,733998,,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"Release dateSeptember 19, 2005 (United States)",,EnglishPersianChinese,"https://m.media-amazon.com/images/M/MV5BNjg1MDQ5MjQ2N15BMl5BanBnXkFtZTYwNjI5NjA3._V1_QL75_UY281_CR10,0,190,281_.jpg"
tt0386676,The Office,2005,2013,22,Comedy,9,724194,,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, tedium and romance.","Release dateMarch 24, 2005 (United States)",,EnglishSpanishGermanFrench,"https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
tt1190634,The Boys,2019,\N,60,Action Comedy Crime,8.7,684193,,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Release dateJuly 26, 2019 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BYTY2ZjYyNGUtZGVkZS00MDNhLWIwMjMtZDk4MmQ5ZWI0NTY4XkEyXkFqcGdeQXVyMTY3MDE5MDY1._V1_QL75_UY281_CR18,0,190,281_.jpg"
tt2356777,True Detective,2014,\N,60,Crime Drama Mystery,8.9,663302,,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Release dateJanuary 12, 2014 (United States)",,English,"https://m.media-amazon.com/images/M/MV5BNTEzMzBiNGYtYThiZS00MzBjLTk5ZWItM2FmMzU3Y2RjYTVlXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
